obj,day,aqi-bj-1,pm2.5-bj-1,pm10-bj-1,co-bj-1,no2-bj-1,so2-bj-1,o3-bj-1,aqi-lf-1,pm2.5-lf-1,pm10-lf-1,co-lf-1,no2-lf-1,so2-lf-1,o3-lf-1,aqi-ts-1,pm2.5-ts-1,pm10-ts-1,co-ts-1,no2-ts-1,so2-ts-1,o3-ts-1,aqi-tj-1,pm2.5-tj-1,pm10-tj-1,co-tj-1,no2-tj-1,so2-tj-1,o3-tj-1,aqi-zjk-1,pm2.5-zjk-1,pm10-zjk-1,co-zjk-1,no2-zjk-1,so2-zjk-1,o3-zjk-1,aqi-cd-1,pm2.5-cd-1,pm10-cd-1,co-cd-1,no2-cd-1,so2-cd-1,o3-cd-1,year_2013,year_2014,year_2015,year_2016,year_2017,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,class-aqi_1,class-aqi_2,class-aqi_3,class-aqi_4,class-aqi_5,class-aqi_6,class-bj-1_1,class-bj-1_2,class-bj-1_3,class-bj-1_4,class-bj-1_5,class-bj-1_6,class-lf-1_1,class-lf-1_2,class-lf-1_3,class-lf-1_4,class-lf-1_5,class-lf-1_6,class-ts-1_1,class-ts-1_2,class-ts-1_3,class-ts-1_4,class-ts-1_5,class-ts-1_6,class-tj-1_1,class-tj-1_2,class-tj-1_3,class-tj-1_4,class-tj-1_5,class-tj-1_6,class-zjk-1_1,class-zjk-1_2,class-zjk-1_3,class-zjk-1_4,class-zjk-1_5,class-zjk-1_6,class-cd-1_1,class-cd-1_2,class-cd-1_3,class-cd-1_4,class-cd-1_5,class-cd-1_6
4.49980967,3,3.891820298,3.17805383,3.850147602,0.262364264,3.091042453,1.386294361,95,4.127134385,3.17805383,4.290459441,0.182321557,2.302585093,1.098612289,95,4.804021045,3.610917913,4.317488114,0.741937345,3.526360525,3.36729583,183,4.077537444,3.401197382,4.189654742,0.530628251,3.091042453,1.791759469,106,3.784189634,2.63905733,3.63758616,0.587786665,2.564949357,3.63758616,85,4.442651256,3.218875825,3.737669618,0.182321557,2.708050201,2.564949357,141,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4.025351691,4,4.49980967,3.663561646,4.852030264,0.336472237,3.784189634,1.945910149,93,4.700480366,3.988984047,5.129898715,0.336472237,3.044522438,2.708050201,88,4.49980967,3.80666249,4.859812404,0.78845736,3.850147602,3.63758616,129,4.584967479,3.713572067,4.9698133,0.693147181,3.610917913,3.091042453,98,4.454347296,2.564949357,4.804021045,0.641853886,3.135494216,4.248495242,83,4.382026635,3.091042453,4.682131227,0.262364264,3.295836866,2.995732274,101,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3.951243719,5,4.025351691,3.295836866,4.094344562,0.262364264,2.890371758,1.386294361,87,4.204692619,3.433987204,4.406719247,0.262364264,2.564949357,1.386294361,82,4.317488114,3.465735903,4.59511985,0.641853886,3.17805383,2.890371758,100,4.290459441,3.401197382,4.553876892,0.530628251,3.044522438,1.609437912,76,4.127134385,2.397895273,4.304065093,0.587786665,2.48490665,4.204692619,79,4.189654742,2.944438979,4.382026635,0.262364264,2.48490665,2.564949357,99,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4.605170186,6,3.951243719,3.17805383,3.988984047,0.336472237,3.610917913,1.609437912,99,4.007333185,3.295836866,4.094344562,0.336472237,3.091042453,2.079441542,92,4.094344562,3.33220451,4.248495242,0.741937345,3.63758616,3.135494216,107,4.110873864,3.496507561,4.248495242,0.693147181,3.713572067,2.995732274,86,3.80666249,2.564949357,3.401197382,0.587786665,2.995732274,4.454347296,88,3.988984047,2.890371758,3.828641396,0.336472237,2.944438979,2.48490665,104,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4.454347296,7,4.605170186,4.317488114,4.828313737,0.641853886,4.127134385,3.33220451,117,4.584967479,4.290459441,4.912654886,0.693147181,3.555348061,3.526360525,89,4.584967479,4.234106505,4.976733742,1.098612289,4.234106505,4.204692619,116,4.564348191,4.276666119,4.94875989,0.875468737,4.077537444,3.951243719,94,4.025351691,2.833213344,4.110873864,0.741937345,3.433987204,4.912654886,91,4.49980967,3.496507561,4.584967479,0.530628251,3.555348061,3.555348061,147,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4.605170186,8,4.454347296,4.158883083,4.634728988,0.641853886,3.828641396,2.564949357,103,4.682131227,4.406719247,4.919980926,0.875468737,3.526360525,2.944438979,100,5.049856007,4.779123493,5.147494477,1.504077397,4.382026635,4.17438727,148,4.605170186,4.317488114,4.744932128,0.955511445,3.784189634,3.135494216,108,3.931825633,2.890371758,3.951243719,0.641853886,2.995732274,4.927253685,87,4.343805422,3.871201011,4.634728988,0.641853886,3.401197382,2.995732274,110,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4.430816799,9,4.605170186,4.317488114,4.682131227,0.693147181,3.850147602,2.833213344,157,4.804021045,4.532599493,4.997212274,0.741937345,3.784189634,3.218875825,124,4.787491743,4.510859507,4.96284463,0.916290732,4.189654742,3.931825633,156,4.406719247,4.110873864,4.48863637,0.916290732,3.970291914,3.295836866,104,4.543294782,2.944438979,4.219507705,0.693147181,3.091042453,4.990432587,151,4.48863637,3.36729583,4.189654742,0.405465108,3.295836866,2.890371758,146,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4.248495242,10,4.430816799,4.127134385,4.672828834,0.832909123,3.970291914,3.526360525,119,4.454347296,4.158883083,4.779123493,0.641853886,3.433987204,3.218875825,111,4.605170186,4.317488114,4.94875989,1.252762968,4.248495242,4.262679877,133,4.343805422,3.970291914,4.624972813,0.875468737,3.912023005,3.465735903,106,4.521788577,3.688879454,4.727387819,0.875468737,3.36729583,5.081404365,149,4.510859507,3.951243719,4.521788577,0.587786665,3.135494216,2.944438979,148,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3.850147602,11,4.248495242,3.931825633,4.477336814,0.78845736,3.931825633,3.33220451,107,4.219507705,3.891820298,4.442651256,0.693147181,3.218875825,3.218875825,106,4.304065093,3.850147602,4.564348191,1.029619417,3.970291914,3.871201011,123,4.143134726,3.688879454,4.317488114,0.741937345,3.80666249,2.995732274,99,4.248495242,3.63758616,4.143134726,0.955511445,3.555348061,4.934473933,123,4.532599493,3.433987204,4.248495242,0.470003629,3.17805383,3.091042453,150,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4.356708827,12,3.850147602,3.218875825,3.044522438,0.587786665,3.401197382,1.386294361,92,3.80666249,3.465735903,3.713572067,0.641853886,3.044522438,1.098612289,87,4.025351691,3.688879454,4.094344562,0.916290732,4.007333185,2.944438979,89,3.80666249,3.401197382,3.091042453,0.741937345,3.295836866,2.197224577,88,3.784189634,3.044522438,3.401197382,0.832909123,3.295836866,4.709530201,86,4.234106505,2.772588722,3.33220451,0.470003629,2.833213344,2.708050201,122,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
